scrip,scrip_name
DIVISLAB,DIVI'S LABORATORIES LIMITED
DIXON,DIXON TECHNO (INDIA) LIMITED
DLF,DLF LIMITED
DLINKINDIA,D-LINK INDIA LIMITED
DMART,AVENUE SUPERMARTS LIMITED
DNAMEDIA,DILIGENT MEDIA CORP LIMITED.
DOLAT,DOLAT INVESTMENTS LIMITED
DOLATINVES,DOLAT INVESTMENTS LIMITED
DOLLAR,DOLLAR INDUSTRIES LIMITED
DOLPHINOFF,DOLPHIN OFF. ENT IND LIMITED.
DONEAR,DONEAR IND. LIMITED
DOONVALLEY,DOON VALLEY RICE LIMITED
DPSCLTD,DPSC LIMITED
DPWIRES,D P WIRES LIMITED
DQE,DQ ENTERTAINMENT INT LIMITED
DRBECK,SCHENECTADY-BECK INDIA LT
DRDATSONS,DR. DATSONS LABS LIMITED
DREDGECORP,DREDGING CORP OF INDIA
DRREDDY,DR. REDDY'S LABORATORIES
DSKULKARNI,D S KULKARNI DEVELOPERS L
DSSL,DYNACONS SYS & SOLN LIMITED
DTIL,DHUNSERI TEA & IND. LIMITED.
DUCON,DUCON INFRATECHNOLOGIES L
DUNCANSIND,DUNCANS INDUSTRIES LIMITED
DUNCANSLTD,DUNCANS INDUSTRIES LIMITED
DUNLOP,DUNLOP (I) LIMITED
DVL,DHUNSERI VENTURES LIMITED
DWARKESH,DWARIKESH SUGAR IND LIMITED
DYNAMATECH,DYNAMATIC TECHNOLOGIES
DYNAPHARMA,DYNACHEM PHARMA (EXPORTS)
DYNPRO,DYNEMIC PRODUCTS LIMITED
EARNHEALTH,EARNEST HEALTHCARE LIMITED
EASTMINING,EASTERN MINING & ALL. LIMITED
EASTOVERSE,EASTERN OVERSEAS LIMITED
EASTSILK,EASTERN SILK INDUSTRIES L
EASTSUGIND,EASTERN SUG & INDS LIMITED
EASUNREYRL,EASUN REYROLLE LIMITED
EBANK,EDELWEISS ETF-NIFTY BANK
EBBETF0423,EDELAMC - EBBETF0423
EBBETF0430,EDELAMC - EBBETF0430
EBIXFOREX,EBIXCASH WRLD MONEY IND
ECEIND,ECE INDUSTRIES LIMITED.
ECLERX,ECLERX SERVICES LIMITED
EDELWEISS,EDELWEISS FIN SERV LIMITED
EDL,EMPEE DISTI. LIMITED.
EDSERV,EDSERV SOFTSYSTEMS LIMITED
EDUCOMP,EDUCOMP SOLUTIONS LIMITED
EICHERMOT,EICHER MOTORS LIMITED
EIDPARRY,EID PARRY INDIA LIMITED
EIHAHOTELS,EIH ASSOCIATED HOTELS LIMITED
EIHOTEL,EIH LIMITED
EIMCOELECO,EIMCO ELECON (INDIA) LIMITED
EKC,EVEREST KANTO CYLINDERLTD
ELAND,E-LAND APPAREL LIMITED
ELBEE,ELBEE SERVICES LIMITED
ELDERPHARM,ELDER PHARMACEUTICALS LIMITED
ELECON,ELECON ENG. CO. LIMITED
ELECONENGG,ELECON ENGINEERING CO LIMITED
ELECTCAST,ELECTROSTEEL CASTINGS LIMITED
ELECTHERM,ELECTROTHERM (I) LIMITED.
ELECTRA,ELECTRA (I) LIMITED
ELECTROSL,ELECTROSTEEL STEELS LIMITED
ELECTRX,ELECTREX (I) LIMITED
ELGIEQUIP,ELGI EQUIPMENTS LIMITED
ELGIRUBCO,ELGI RUBBER CO. LIMITED
ELNET,ELNET TECH. LIMITED
ELPROINTL,ELPRO INTERNATIONAL LIMITED
EMAMILTD,EMAMI LIMITED
EMAMIPAP,EMAMI PAPER MILLS LIMITED
EMAMIREAL,EMAMI REALTY LIMITED
EMCO,EMCO LIMITED
EMCOTRANS,EMCO LIMITED.
EMKAY,EMKAY GLOBAL FIN SERV LIMITED
EMMBI,EMMBI INDUSTRIES LIMITED
EMPEESUG,EMPEE SUGAR AND CHEM LIMITED
EMPEESUGAR,EMPEE SUGARS AND CHEMICAL
EMTEXIND,EMTEX INDUSTRIES (INDIA)
ENARAIFIN,ENARAI FINANCE LIMITED
ENDURANCE,ENDURANCE TECHNO. LIMITED.
ENERGYDEV,ENERGY DEVE. CO.LTD
ENGINERSIN,ENGINEERS INDIA LIMITED
ENIL,ENTERTAIN NET. IND. LIMITED.
ENOREFONRY,ENNORE FOUNDRIES LIMITED
ENTEGRA,ENTEGRA LIMITED
EON,EON ELECTRIC LIMITED
EQ30,EDEL ETF NIFTY 100 QUAL30
EQUITAS,EQUITAS HOLDINGS LIMITED
ERAINFRA,ERA INFRA ENGINEERING LIMITED
ERIS,ERIS LIFESCIENCES LIMITED
EROSMEDIA,EROS INTL MEDIA LIMITED
ESABINDIA,ESAB INDIA LIMITED
ESCORTS,ESCORTS INDIA LIMITED
ESCORTSFIN,ESCORTS FINANCE LIMITED
ESL,ELECTROSTEEL STEELS LIMITED
ESSARPORTS,ESSAR PORTS LIMITED
ESSARSHPNG,ESSAR SHIPPING LIMITED
ESSDEE,ESS DEE ALUM LIMITED
ESSELPACK,ESSEL PROPACK LIMITED
ESTCSTSTEL,EAST COAST STEEL LIMITED
ESTER,ESTER INDUSTRIES LIMITED
ESTERIND,ESTER INDUSTRIES LIMITED
ESTWSTRAV,EAST WEST TRAVEL & TRADE
EUPHARMLAB,EUPHARMA LABS LIMITED
EUROCERA,EURO CERAMICS LIMITED
EUROMULTI,EURO MULTIVISION LIMITED
EUROTEXIND,EUROTEX INDUSTRIES LIMITED
EVEREADY,EVEREADY INDS. IND.  LIMITED.
EVERESTIND,EVEREST INDUSTRIES LIMITED
EVERONN,EVERONN EDUCATION LIMITED
EXCEL,EXCEL REALTY N INFRA LIMITED
EXCELCROP,EXCEL CROP CARE LIMITED
EXCELINDUS,EXCEL INDUSTRIES LIMITED
EXIDEIND,EXIDE INDUSTRIES LIMITED
EXPLEOSOL,EXPLEO SOLUTIONS LIMITED
FACT,FACT LIMITED
FAIRCHEM,FAIRCHEM SPECIALITY LIMITED
FALCONTYRE,FALCON TYRES LIMITED
FARMAXIND,FARMAX INDIA LIMITED
FASTCAP,FAST CAPITAL GROWTH LIMITED
FAZETHREE,FAZE THREE EXPORTS LIMITED
FCL,FINEOTEX CHEMICAL LIMITED
FCONSUMER,FUTURE CONSUMER LIMITED
FCSSOFT,FCS SOFTWARE SOLN. LIMITED.
FDC,FDC LIMITED
FEDDERELEC,FEDDERS ELECTRIC & ENG LT
FEDERALBNK,FEDERAL BANK LIMITED
FEL,FUTURE ENTERPRISES LIMITED
FELDVR,FUTURE ENTERPRISES LIMITED
FEMNORMIN,FEMNOR MINERAL (I) LIMITED
FERROALLOY,FERRO ALLOYS CORPORATION
FGPIND,FGP LIMITED
FICOMORGAN,FICOM ORGANICS LIMITED
FIEMIND,FIEM INDUSTRIES LIMITED
FILATEX,FILATEX INDIA LIMITED
FINCABLES,FINOLEX CABLES LIMITED
FINEORG,FINE ORGANIC IND. LIMITED.
FINPIPE,FINOLEX INDUSTRIES LIMITED
FIRSTLEASE,FIRST LEASING COMPANY OF
FIRSTWIN,FIRST WIN IND. LIMITED.
FISHFALCON,FISHING FALCONS LIMITED
FLATPROD,FLAT PRODUCTS EQUIPMENT (
FLEXITUFF,FLEXITUFF VENTURES INT L
FLFL,FUT LIFESTYLE FASH LIMITED
FLUOROCHEM,GUJARAT FLUOROCHEM LIMITED
FMGOETZE,FEDERAL-MOGUL GOETZE (IND
FMNL,FUTURE MKT NETWORKS LIMITED
FORBESGOK,FORBES GOKAK LIMITED
FORCEMOT,FORCE MOTORS LIMITED
FORTIS,FORTIS HEALTHCARE LIMITED
FORTISFIN,FORTIS FINANCIAL SERVICES
FOSECOIND,FOSECO INDIA LIMITED
FRETAIL,FUTURE RETAIL LIMITED
FSC,FUTURE SUPP CHAIN SOL LIMITED
FSL,FIRSTSOURCE SOLU. LIMITED.
FULFORD,FULFORD (I) LIMITED
GABRIEL,GABRIEL INDIA LIMITED
GAEL,GUJARAT AMBUJA EXPORTS LT
GAIL,GAIL (INDIA) LIMITED
GAL,GYSCOAL ALLOYS LIMITED
GALAXYSURF,GALAXY SURFACTANTS LIMITED
GALLANTT,GALLANTT METAL LIMITED
GALLISPAT,GALLANTT ISPAT LIMITED
GALPOWTEL,GALADA POWER & TELECOM
GAMMNINFRA,GAMMON INFRA PROJ LIMITED.
GAMMONIND,GAMMON INDIA LIMITED
GANDHITUBE,GANDHI SPL. TUBES LIMITED
GANECOS,GANESHA ECOSPHERE LIMITED
GANESHANHY,GANESH ANYHDRIDE LIMITED
GANESHBENZ,GANESH BENZOPLAST LIMITED
GANESHHOUC,GANESH HOUSING CORP LIMITED
GANGESSECU,GANGES SECURITIES LIMITED
GANGOTEX,GANGOTRI TEXTILES LIMITED
GANGOTRI,GANGOTRI TEXTILES LIMITED.
GANHSGFIN,GANESH HOUSING FIN CORP
GARDENSILK,GARDEN SILK MILLS LIMITED
GARFIBRES,GARWARE TECH FIBRES LIMITED
GARWARPOLY,GARWARE POLYESTER LIMITED
GARWARSHIP,GARWARE SHIPPING CORP. LT
GATI,GATI LIMITED
GAYAHWS,GAYATRI HIGHWAYS LIMITED
GAYAPROJ,GAYATRI PROJECTS LIMITED
GBGLOBAL,GB GLOBAL LIMITED
GDL,GATEWAY DISTRIPARKS LIMITED.
GECALSTHOM,ALSTOM LIMITED
GEECEE,GEECEE VENTURES LIMITED
GEEKAYEXIM,GEEKAY EXIM (I) LIMITED
GEEKAYWIRE,GEEKAY WIRES LIMITED
GEINDSYS,GEI IND SYSTEMS LIMITED
GEMINI,GEMINI COMM. LIMITED
GEMSPIN,GEM SPINNERS (I) LIMITED
GENESYS,GENESYS INTL CORPN LIMITED
GENUSPAPER,GENUS P&B LIMITED
GENUSPOWER,GENUS POWER INFRASTRU LIMITED
GEODESIC,GEODESIC LIMITED
GEOJITFSL,GEOJIT FINANCIAL SER L
GEORGFISCH,GEORG FISCHER DISA LIMITED
GEPIL,GE POWER INDIA LIMITED
GESHIP,THE GE SHPG.LTD
GESTETNER,GESTETNER (INDIAI LIMITED
GET&D,GE T&D INDIA LIMITED
GFLLIMITED,GFL LIMITED
GFSTEELS,GRAND FOUNDRY LIMITED
GHCL,GHCL LIMITED
GICBAL,GIC BALANCED FUND
GICHSGFIN,GIC HOUSING FINANCE LIMITED
GICRE,GENERAL INS CORP OF INDIA
GILLANDERS,GILLANDERS ARBUTHNOT LIMITED
GILLETTE,GILLETTE INDIA LIMITED
GINNIFILA,GINNI FILAMENTS LIMITED
GIPCL,GUJ IND POW CO. LIMITED
GISOLUTION,GI ENGINEERING SOLNS LIMITED
GITANJALI,GITANJALI GEMS LIMITED
GKWLIMITED,GKW LIMITED
GLAXO,GLAXOSMITHKLINE PHARMA LT
GLENMARK,GLENMARK PHARMACEUTICALS
GLFL,GUJARAT LEASE FINANCING L
GLOBABOARD,GLOBAL BOARDS LIMITED
GLOBALVECT,GLOBAL VEC HELICORP LIMITED
GLOBOFFS,GLOBAL OFFSHORE SERV LIMITED
GLOBUSSPR,GLOBUS SPIRITS LIMITED
GLODYNE,GLODYNE TECHNOSERVE LIMITED.
GLORY,GLORY POLYFILMS LIMITED.
GMBREW,G M BREWERIES LIMITED
GMDCLTD,GUJARAT MINERAL DEV CORP
GMMPFAUDLR,GMM PFAUDLER LIMITED
GMRINFRA,GMR INFRASTRUCTURE LIMITED.
GMRVASAVI,GMR TECHNOLOGIES & INDUST
GMSIND,G M S INDUSTRIES (I) LIMITED
GNA,GNA AXLES LIMITED
GNFC,GUJ NAR VAL FER & CHEM L
GOACARBON,GOA CARBON LIMITED
GOCLCORP,GOCL CORPORATION LIMITED
GODFRYPHLP,GODFREY PHILLIPS INDIA LT
GODREJAGRO,GODREJ AGROVET LIMITED
GODREJCP,GODREJ CONSUMER PRODUCTS
GODREJIND,GODREJ INDUSTRIES LIMITED
GODREJPROP,GODREJ PROPERTIES LIMITED
GOENKA,GOENKA DIAMOND&JEWELS LIMITED
GOKEX,GOKALDAS EXPORTS LIMITED.
GOKUL,GOKUL REFOILS & SOLV LIMITED
GOKULAGRO,GOKUL AGRO RESOURCES LIMITED
GOLCRESFIN,GOLDCREST FINANCE (I) LIMITED
GOLDBEES,NIPP IND ETF GOLD BEES
GOLDBENAV,GOLD BEES NAV
GOLDENTOBC,GOLDEN TOBACCO LIMITED
GOLDIAM,GOLDIAM INTERNATIONAL LIMITED
GOLDSHARE,UTI GOLD ETF
GOLDTECH,GOLDSTONE TECHNOLOGIES LT
GONTERPEIP,GONTERMANN PEIPERS (I) LT
GOODLUCK,GOODLUCK INDIA LIMITED
GOODRICKE,GOODRICKE GROUP LIMITED
GOODVALUE,GOOD VALUE MARKETING CO.
GOODYEAR,GOODYEAR INDIA LIMITED
GORDONHERB,GORDON HERBERT LIMITED
GOVINRUBER,GOVIND RUBBER LIMITED
GPIL,GODAWARI POW & ISP LIMITED
GPPL,GUJARAT PIPAVAV PORT LIMITED
GPTINFRA,GPT INFRAPROJECTS LIMITED
GRANDFONRY,GRAND FOUNDRY LIMITED
GRANULES,GRANULES INDIA LIMITED
GRAPCOMIN,GRAPCO MINING AND CO. LIMITED
GRAPHITE,GRAPHITE INDIA LIMITED
GRASIM,GRASIM INDUSTRIES LIMITED
GRAVITA,GRAVITA INDIA LIMITED
GREAVESCOT,GREAVES COTTON LIMITED.
GREENLAM,GREENLAM INDUSTRIES LIMITED.
GREENPANEL,GREENPANEL INDUSTRIES LIMITED
GREENPLY,GREENPLY INDUSTRIES LIMITED
GREENPOWER,ORIENT GREEN POWER CO LIMITED
GRINDWELL,GRINDWELL NORTON LIMITED
GRINWELNOR,GRINDWELL NORTON LIMITED
GROBTEA,THE GROB TEA COMPANY LIMITED
GRPLTD,GRP LIMITED
GRSE,GARDEN REACH SHIP&ENG LIMITED
GRUH,GRUH FINANCE LIMITED.
GSCLCEMENT,GUJARAT SIDHEE CEM. LIMITED.
GSFC,GUJ STATE FERT & CHEM LIMITED
GSKCONS,GLAXOSMITHKLINE CONSUMER
GSL,GSL (I) LIMITED
GSPL,GUJARAT STATE PETRO LIMITED
GSS,GSS INFOTECH LIMITED
GTL,GTL LIMITED
GTLINFRA,GTL INFRA.LTD
GTNIND,GTN INDUSTRIES LIMITED
GTNTEX,GTN TEXTILES LIMITED
GTOFFSHORE,GOL OFFSHORE LIMITED
GTPL,GTPL HATHWAY LIMITED
GUFICBIO,GUFIC BIOSCIENCES LIMITED.
GUJALKALI,GUJARAT ALKALIES & CHEM
GUJAPOLLO,GUJ. APOLLO IND. LIMITED.
GUJBOROSIL,GUJARAT BOROSIL LIMITED
GUJCOTEX,GUJARAT COTEX LIMITED
GUJGASLTD,GUJARAT GAS LIMITED
GUJNRECOKE,GUJARAT N R E COKE LIMITED
GUJNREDVR,GUJ NRE DVR 'B' CLASS
GUJOPTICAL,GUJARAT OPTICAL COMM LIMITED
GUJRAFFIA,GUJARAT RAFFIA INDUST LIMITED
GUJRATTELE,GUJARAT TELEPHONE CABLES
GUJTHEMIS,GUJARAT THEMIS BIOSYN LIMITED
GULFOILLUB,GULF OIL LUB. IND. LIMITED.
GULFPETRO,GP PETROLEUMS LIMITED
GULPOLY,GULSHAN POLYOLS LIMITED
GVKPIL,GVK POW. & INFRA LIMITED.
HAL,HINDUSTAN AERONAUTICS LIMITED
HANUNG,HANUNG TOYS & TEX LIMITED
HARIAEXPO,HARIA EXPORTS LIMITED
HARIGCRANK,HARIG CRANKSHAFTS LIMITED
HARITASEAT,HARITA SEATING SYS. LIMITED
HARRMALAYA,HARRISON MALAYALAM LIMITED
HARYANPETR,HARYANA PETROCHEMICALS LT
HATHWAY,HATHWAY CABLE & DATACOM
HATSUN,HATSUN AGRO PRODUCT LIMITED.
HAVELLS,HAVELLS INDIA LIMITED
HAVISHA,SRI HAVISHA HOSP & INFR L
HAWKINCOOK,HAWKINS COOKERS LIMITED
HBLPOWER,HBL POWER SYSTEMS LIMITED.
HBSL,HB STOCKHOLDINGS LIMITED
HBSTOCK,HB STOCKHOLDINGS LIMITED
HCC,HINDUSTAN CONSTRUCTION CO
HCG,HEALTHCARE GLOB. ENT. LIMITED
HCL-INSYS,HCL INFOSYSTEMS LIMITED
HCLTECH,HCL TECHNOLOGIES LIMITED
HDFC,HDFC LIMITED
HDFCAMC,HDFC AMC LIMITED
HDFCBANK,HDFC BANK LIMITED
HDFCLIFE,HDFC LIFE INS CO LIMITED
HDFCMFGETF,HDFC GOLD ETF
HDFCNIFETF,HDFCAMC - HDFCNIFETF
HDFCSENETF,HDFCAMC - HDFCSENETF
HDIL,HOUSING DEV & INFRA LIMITED
HEG,HEG LIMITED
HEIDELBERG,HEIDELBERGCEMENT (I) LIMITED
HELIOSMATH,HELIOS & MATHINFTECH LIMITED.
HERBETSON,HERBERTSONS LIMITED
HERCULES,HERCULES HOI. LIMITED.
HERDIOXIDE,HERDILLIA OXIDES & ELECTR
HERITGFOOD,HERITAGE FOODS LIMITED
HEROMOTOCO,HERO MOTOCORP LIMITED
HESTERBIO,HESTER BIOSCIENCES LIMITED
HEXATRADEX,HEXA TRADEX LIMITED
HEXAWARE,HEXAWARE TECHNOLOGIES LIMITED
HFCL,HFCL LIMITED
HGINFRA,H.G.INFRA ENGINEERING LIMITED
HGS,HINDUJA GLOBAL SOLS. LIMITED.
HIGHGROUND,HIGH GROUND ENTP LIMITED
HIKAL,HIKAL LIMITED
HIL,HIL LIMITED
HILTON,HILTON METAL FORGING LIMITED
HIMADCHEM,HIMADRI CHEMICALS AND IND
HIMATSEIDE,HIMATSINGKA SEIDE LIMITED
HIMGRANITE,HIMALAYA GRANITES LIMITED
HINDALCO,HINDALCO  INDUSTRIES  LIMITED
HINDCOMPOS,HINDUSTAN COMPOSITES LIMITED.
HINDCOPPER,HINDUSTAN COPPER LIMITED
HINDDORROL,HINDUSTAN DORR OLIVER LIMITED
HINDIND,HIND INDUSTRIES LIMITED
HINDINDCHM,HINDUSTAN INDUSTRIAL CHEM
HINDMOTORS,HINDUSTAN MOTORS LIMITED
HINDNATGLS,HIND NATL GLASS & IND LIMITED
HINDNITRO,HINDUSTAN NITROPROD GUJRA
HINDOILEXP,HINDUSTAN OIL EXPLORATION
HINDPETRO,HINDUSTAN PETROLEUM CORP
HINDPHOTO,HINDUSTAN PHOTO FILMS MFG
HINDRECT,HIND RECTIFIERS LIMITED
HINDSYNTEX,HIND SYNTEX LIMITED
HINDTINWRK,HINDUSTAN TIN WORKS LIMITED
HINDUNILVR,HINDUSTAN UNILEVER LIMITED.
HINDZINC,HINDUSTAN ZINC LIMITED
HINPOWPLUS,HINDUSTAN POWERPLUS LIMITED
HIRECT,HIND RECTIFIER LIMITED
HISARMETAL,HISAR METAL IND. LIMITED
HITECH,HI-TECH PIPES LIMITED
HITECHCORP,HITECH CORPORATION LIMITED
HITECHGEAR,THE HI-TECH GEARS LIMITED
HLVLTD,HLV LIMITED
HMT,HINDUSTAN MACHINE TOOLS L
HMVL,HINDUSTAN MEDIA VENT LIMITED
HNDFDS,HINDUSTAN FOODS LIMITED
HNGSNBENAV,HANGSENG BEES NAV
HNGSNGBEES,NIP IN ETF HANG SENG BEES
HOGANAS,HOGANAS INDIA LIMITED.
HONAUT,HONEYWELL AUTOMATION IND
HONDAPOWER,HONDA SIEL POWER PROD LIMITED
HOTELRUGBY,HOTEL RUGBY LIMITED
HOTLINGLAS,HOTLINE GLASS LIMITED
HOVS,HOV SERVICES LIMITED
HPL,HPL ELECTRIC & POWER LIMITED
HSCL,HIMADRI SPECIALITY CHEM L
HSIL,HSIL LIMITED
HTMEDIA,HT MEDIA LIMITED
HUBTOWN,HUBTOWN LIMITED
HUDCO,HSG & URBAN DEV CORPN LIMITED
HYTSNMAGNT,HYTAISUN MAGNETICS LIMITED.
IBMFNIFTY,IBULLSAMC - IBMFNIFTY
IBREALEST,INDIABULLS REAL EST. LIMITED
IBULHSGFIN,INDIABULLS HSG FIN LIMITED
IBULISL,INDIABULLS INTEGR SER LIMITED
IBVENTURES,INDIABULLS VENTURES LIMITED
ICDSLTD,ICDS LIMITED
ICICI500,ICICIPRAMC - ICICI500
ICICIB22,ICICIPRAMC - BHARATIWIN
ICICIBANK,ICICI BANK LIMITED.
ICICIBANKN,ICICIPRAMC - IPRU5008
ICICIBANKP,ICICIPRAMC - ICICIBANKP
ICICIGI,ICICI LOMBARD GIC LIMITED
ICICIGOLD,ICICI PRUDENTIAL GOLD ETF
ICICILIQ,ICICIPRAMC - ICICILIQ
ICICILOVOL,ICICI PR NIF LW VL 30 ETF
ICICIM150,ICICIPRAMC - ICICIM150
ICICIMCAP,ICICI PRUD MIDCAP SEL ETF
ICICINF100,ICICI PRUD NIFTY 100 ETF
ICICINIFTY,ICICI PRUD NIFTY ETF
ICICINV20,ICICI PRUDENTIAL NV20 ETF
ICICINXT50,ICICIPRAMC - ICICINXT50
ICICIPRULI,ICICI PRU LIFE INS CO LIMITED
ICICISENSX,ICICI PRUD SENSEX ETF
ICIL,INDO COUNT INDUSTRIES LIMITED
ICRA,ICRA LIMITED
ICSA,ICSA (INDIA) LIMITED
IDBI,IDBI BANK LIMITED
IDBIGOLD,IDBI MF - IDBI GOLD ETF
IDEA,VODAFONE IDEA LIMITED
IDFC,IDFC LIMITED
IDFCFIRSTB,IDFC FIRST BANK LIMITED
IDFNIFTYET,IDFCAMC - IDFNIFTYET
IDLCHEM,IDL INDUSTRIES LIMITED
IEX,INDIAN ENERGY EXC LIMITED
IFBAGRO,IFB AGRO INDUSTRIES LIMITED
IFBIND,IFB INDUSTRIES LIMITED
IFBVENTUR,IFB VENTURE CAPITAL LIMITED
IFCI,IFCI LIMITED
IFGLEXPOR,IFGL REFRACTORIES LIMITED
IFGLREFRAC,IFGL REFRACTORIES LIMITED
IGARASHI,IGARASHI MOTORS INDIA LIMITED
IGGIRESORT,IGGI RESORTS INTL LIMITED
IGL,INDRAPRASTHA GAS LIMITED
IGPL,I G PETROCHEMICALS LIMITED
IIFL,IIFL FINANCE LIMITED
IIFLSEC,IIFL SECURITIES LIMITED
IIFLWAM,IIFL WEALTH MGMT LIMITED
IITL,INDUSTRIAL INV TRUST LIMITED
IL&FSENGG,IL&FS ENG AND CONS CO LIMITED
IL&FSTRANS,IL&FS TRANS NET LIMITED
IMAGICAA,IMAGICAAWORLD ENT LIMITED
IMFA,INDIAN METALS & FERRO
IMPAL,IND MOTOR PART & ACC LIMITED
IMPEXFERRO,IMPEX FERRO TECH LIMITED
INDAIRYSPE,INDIANA DAIRY SPEC. LIMITED
INDAL,INDIAN ALUMINIUM CO LIMITED
INDBANK,INDBANK MERCH BANK
INDBIOFOOD,INDO BIOTECH FOODS LIMITED.
INDHOTEL,THE INDIAN HOTELS CO. LIMITED
INDIACEM,THE INDIA CEMENTS LIMITED
INDIAGLYCO,INDIA GLYCOLS LIMITED
INDIALEASE,INDIA LEASE DEVELOPMENT L
INDIAMART,INDIAMART INTERMESH LIMITED
INDIANACRY,INDIAN ACRYLICS LIMITED
INDIANB,INDIAN BANK
INDIANCARD,INDIAN CARD CLOTHING CO.
INDIANHUME,INDIAN HUME PIPE CO. LIMITED.
INDIANORG,INDIAN ORGANIC CHEMICAL L
INDIAPHOTO,KODAK INDIA LIMITED
INDIASEC,INDIA SECURITIES LIMITED
INDIGO,INTERGLOBE AVIATION LIMITED
INDLMETER,IMP POWERS LIMITED
INDNIPPON,INDIA NIPPON ELECT  LIMITED
INDOASAHI,INDO ASAHI GLASS CO LIMITED
INDOCO,INDOCO REMEDIES LIMITED.
INDOCOUNT,INDO COUNT IND. LIMITED.
INDOFREBIO,INDO-FRENCH BIOTECH ENTER
INDOMATAPP,INDO MATSUSHITA APP LIMITED
INDORAMA,INDO RAMA SYNTHETICS LIMITED
INDORAMSYN,INDO RAMA SYNTHETICS (I)
INDOSOLAR,INDOSOLAR LIMITED
INDOSTAR,INDOSTAR CAPITAL FIN LIMITED
INDOTECH,INDO TECH TRANSFORM LIMITED.
INDOTHAI,INDO THAI SEC LIMITED
INDOWIND,INDOWIND ENERGY LIMITED
INDOZINC,INDO ZINC LIMITED
INDRAMEDCO,INDRAPRASTHA MEDICAL CORP
INDRATNA,IND RATNA
INDSEAMFIN,INDIAN SEAMLESS FIN SERV
INDSTMSHIP,INDIA STEAMSHIP CO LIMITED.
INDSWFTLAB,IND SWIFT LABORATORIES LT
INDSWFTLTD,IND-SWIFT LIMITED
INDTERRAIN,IND TERRAIN FASHIONS LIMITED
INDTRADECO,IND TRA DECO LIMITED
INDUNISSAN,INDU NISSAN OXO CHEM IND.
INDUSFILA,INDUS FILA LIMITED
INDUSINDBK,INDUSIND BANK LIMITED
INDYESTUF,IDI LIMITED
INEOSSTYRO,INEOS STYROLUTION IND LIMITED
INERTIAIND,INERTIA INDUSTRIES LIMITED.
INFARINDIA,INFAR (INDIA) LIMITED
INFIBEAM,INFIBEAM AVENUES LIMITED
INFINITE,INFINITE COMPUTER SOL LIMITED
INFOBEAN,INFOBEANS TECHNO. LIMITED.
INFOMEDIA,INFOMEDIA PRESS LIMITED
INFRABEES,NIPP INDIA ETF INFRA BEES
INFRABENAV,INFRA BEES NAV
INFRATEL,BHARTI INFRATEL LIMITED.
INFY,INFOSYS LIMITED
INGERRAND,INGERSOLL-RAND INDIA LIMITED
INNOIND,INNOVENTIVE IND LIMITED
INOVATMARN,INNOVATIVE MARINE FOODS L
INOXLEISUR,INOX LEISURE LIMITED
INOXWIND,INOX WIND LIMITED
INSECTICID,INSECTICIDES (I) LIMITED
INSILCO,INSILCO LIMITED
INSPIRISYS,INSPIRISYS SOLUTIONS LIMITED
INTCOMTECH,ICES SOFTWARE LIMITED.
INTEGRA,INTEGRA GARMENT & TEX LIMITED
INTEGRFIN,INTEGRATED FINANCE LIMITED.
INTELLECT,INTELLECT DESIGN ARENA
INTENTECH,INTENSE TECHNOLOGIES LIMITED
INTLTRAVHS,INTERNATIONAL TRAVEL HOUS
INVELTRANS,GKN DRIVESHAFTS (I) LIMITED
INVENTURE,INVENTURE GRO & SEC LIMITED
IOB,INDIAN OVERSEAS BANK
IOC,INDIAN OIL CORP LIMITED
IOLCP,IOL CHEMICAL AND PHARMA LIMITED
IONEXCHANG,ION EXCHANGE (INDIA) LIMITED
IPCALAB,IPCA LABORATORIES LIMITED
IPRINGS,I P RINGS LIMITED
IRB,IRB INFRA DEV LIMITED.
IRCON,IRCON INTERNATIONAL LIMITED
IRCTC,INDIAN RAIL TOUR CORP LIMITED
ISEC,ICICI SECURITIES LIMITED
ISFT,INTRASOFT TECH. LIMITED
ISIBARS,ISIBARS LIMITED
ISMTLTD,ISMT LIMITED
ISPATALLOY,ISPAT ALLOYS LIMITED
ISPATPROF,ISPAT PROFILE (I) LIMITED
ISSAL,INDIAN SEAMLESS STEELS &
ISWARMEDIC,ISHWAR MEDICAL SERVICES L
ITC,ITC LIMITED
ITDC,INDIA TOUR. DEV. CO. LIMITED.
ITDCEM,ITD CEMENTATION INDIA LIMITED
ITI,ITI LIMITED
ITWSIGNODE,ITW SIGNODE INDIA LIMITED
IVC,IL&FS INVESTMENT MANAGERS
IVP,IVP LIMITED
IVRCLINFRA,IVRCL LIMITED
IVZINGOLD,INVESCO INDIA GOLD ETF
IVZINNIFTY,INVESCO INDIA NIFTY ETF
IZMO,IZMO LIMITED
J&KBANK,J & K BANK LIMITED.
JAGAJITIND,JAGATJIT INDUSTRIES LIMITED
JAGRAN,JAGRAN PRAKASHAN LIMITED
JAGSNPHARM,JAGSONPAL PHARMACEUTICALS
JAIBALAJI,JAI BALAJI INDUSTRIES LIMITED
JAICORPLTD,JAI CORP LIMITED
JAIHINDPRO,JAIHIND PROJECTS LIMITED
JAINPLAST,JAIN PLASTICS & CHEM LIMITED
JAINSTUDIO,JAIN STUDIOS LIMITED
JAIPARBOLI,JAI PARABOLIC SPRINGS LIMITED
JALANFORG,JALAN FORGINGS LIMITED
JAMNAAUTO,JAMNA AUTO IND LIMITED
